,names,scores,logfoldchanges,pvals,pvals_adj
132,KLHL24,18.86356,1.9242277,2.273805903734451e-79,3.8890319381046555e-77
133,ATP6V0B,18.836456,1.9321184,3.7954272967439997e-79,6.444853991730117e-77
134,RBM17,18.818422,2.0348856,5.335020389368472e-79,8.994463303590288e-77
135,ID3,18.798555,2.5257235,7.760184819792514e-79,1.2990329241245582e-76
136,EIF3F,18.780115,2.1594646,1.0984235221789555e-78,1.8257810136612597e-76
137,RALGPS2,18.759502,2.3106353,1.61909058667365e-78,2.672405252955116e-76
138,CD44,18.719141,2.3579977,3.456844754438079e-78,5.666104634652916e-76
139,TSC22D3,18.650406,7.2244763,1.2532381797138226e-77,2.0400124659162314e-75
140,CCDC50,18.588175,1.8471215,4.005812302154777e-77,6.475971764915014e-75
141,RNF126,18.578241,1.6550462,4.82047082962526e-77,7.739970951812586e-75
142,IL10RA,18.5634,2.1902444,6.355232845421494e-77,1.0135308165573211e-74
143,CXCR4,18.516848,4.949312,1.5102419168941856e-76,2.3923650982854673e-74
144,CFL1,18.499376,2.4841125,2.088773514560845e-76,3.2867547509453085e-74
145,LIMD2,18.477022,3.185329,3.16151743714536e-76,4.941807686684897e-74
146,ADD1,18.442799,2.0873907,5.95755817920019e-76,9.251068796293558e-74
147,GMFG,18.438572,1.9686022,6.442017894063465e-76,9.93797048062614e-74
148,SLC15A4,18.39206,2.4176729,1.5209188116039063e-75,2.3310549811874674e-73
149,SLA,18.352587,2.7562363,3.147590979632776e-75,4.7930703156304773e-73
150,ANKRD11,18.259954,1.9113297,1.7243410332347243e-74,2.6089500902204615e-72
151,CAMK2D,18.249119,2.0841105,2.1027551547420125e-74,3.16123120492839e-72
153,UGCG,18.14841,2.1986911,1.3217040873501364e-73,1.9620239983475012e-71
154,DHX36,18.093784,1.6246384,3.56733428047219e-73,5.262486938874069e-71
155,YWHAZ,18.012066,2.1069396,1.566714177249083e-72,2.296841908422988e-70
156,FCMR,18.009436,1.8936521,1.6429679486459437e-72,2.393763734067297e-70
157,MEF2A,17.959846,1.7499106,4.019157721725798e-72,5.81988832551497e-70
158,IL2RA,17.950163,2.9466274,4.785053980087405e-72,6.886684700731891e-70
159,TRAPPC10,17.920153,1.6941304,8.210264568858431e-72,1.1744659067803971e-69
160,SYNE2,17.88576,2.2854054,1.5226612755778607e-71,2.1650225353894123e-69
161,WASF2,17.820099,1.7086129,4.9348976633822926e-71,6.974753865198338e-69
162,EIF1,17.709497,6.5712733,3.542222924067289e-70,4.976612361711918e-68
163,ROCK1,17.689264,1.8353467,5.073368951744101e-70,7.08560516970509e-68
164,RAC1,17.590532,1.6412265,2.9112924022145394e-69,4.0420726217335166e-67
165,OGFR,17.540749,1.6262381,7.000010152319802e-69,9.662060796795572e-67
