,names,scores,logfoldchanges,pvals,pvals_adj
2,YBX3,19.909939,6.0608306,3.337179999769802e-88,2.6255819844855546e-84
4,DUSP2,18.178144,11.567153,7.689045069072257e-74,3.62969061530625e-70
6,EGR1,16.12121,7.3959503,1.8102880905453704e-58,4.272822980114238e-55
7,ITGB1,14.8369255,4.8843455,8.4543230288903845e-50,1.1738081555935279e-46
8,TCF4,14.49281,3.6033347,1.345244376133774e-47,1.5875901504942733e-44
9,S100A6,13.394744,4.790799,6.489922928350953e-41,4.3766185965105007e-38
11,BTG2,12.591626,3.530172,2.3478643231782003e-36,1.1083328323995012e-33
12,LINC01857,12.555218,3.402122,3.721541003360621e-36,1.6892217750446294e-33
13,CD72,12.143237,2.9418159,6.231110415442093e-34,2.58022630062596e-31
14,PARP15,12.039073,3.4546347,2.214291763314722e-33,8.85829296432498e-31
15,LGALS1,11.914836,5.043237,9.906151159748066e-33,3.833030915139896e-30
16,TESC,11.84598,4.5064774,2.2576498735406167e-32,8.326142182059247e-30
17,SEC62,11.540088,3.39421,8.284107032775277e-31,2.7156913652027065e-28
18,FCMR,11.49994,4.0479336,1.3200765774552245e-30,4.268187322969269e-28
19,ZFP36,11.437353,3.2209368,2.7205870509297448e-30,8.677569751769562e-28
20,FOXP1,11.102643,3.1705496,1.2178841814173062e-28,3.733210432986062e-26
21,CD69,10.8138,3.541237,2.9614395109241113e-27,8.847956553967317e-25
22,FCRL5,10.706721,2.7087374,9.46553458783396e-27,2.7245733277639628e-24
24,TMA7,10.494433,3.41639,9.162587679964747e-26,2.457551784206908e-23
25,PYHIN1,10.429427,3.6145968,1.8198224119535411e-25,4.77258537659327e-23
26,TRA2B,10.414028,1.9461507,2.139721609022324e-25,5.54987353162131e-23
27,SKAP1,10.410783,2.7480981,2.213927631835617e-25,5.679927597197399e-23
28,TSTD1,10.354027,2.360386,4.012476821764838e-25,1.0075158555756965e-22
29,SYNE2,10.109951,2.9058225,4.9909386586853765e-24,1.214444589288154e-21
30,LRMP,10.0515995,2.5839052,9.038860009230674e-24,2.1334421279787163e-21
31,IER2,9.775625,3.5177937,1.4327003675416572e-22,3.283109395639392e-20
32,S100A4,9.643358,2.5036192,5.244380195160138e-22,1.1461398680218958e-19
33,NXPH4,9.62081,3.0434337,6.531528207933085e-22,1.401487820834951e-19
34,BTG1,9.404781,5.381306,5.213827275056234e-21,1.0890439395854185e-18
35,AEBP1,9.183035,3.630344,4.191101194053928e-20,8.175418304401228e-18
36,ANAPC5,9.145527,1.7027098,5.933987167619384e-20,1.1295153154622607e-17
37,SH3BP5,9.109944,1.8796016,8.242451529540162e-20,1.5563726676138915e-17
38,SYK,9.083876,1.9996744,1.047761067446094e-19,1.947268068892138e-17
39,IFT57,9.071666,2.104641,1.1721068274248292e-19,2.1613466756022063e-17
40,TGFBR2,8.862953,2.114634,7.792216817966126e-19,1.39333101177617e-16
41,FGR,8.773364,1.8105156,1.734069559893048e-18,3.0317958386781934e-16
42,MYL6,8.715232,2.410138,2.9016385209998603e-18,4.962853189214472e-16
43,SLC2A3,8.712757,2.3431618,2.965715868246797e-18,5.035956232966126e-16
44,CD27,8.645496,1.7523683,5.3572048358585785e-18,8.967808917785108e-16
45,TTN,8.530608,2.3564034,1.455808584061764e-17,2.4028986020706162e-15
46,LCN8,8.40439,1.9231427,4.300907921356618e-17,6.9057367120938955e-15
47,PPP1R2,8.273223,1.4933647,1.30385767767903e-16,2.038076342136301e-14
48,TFEC,8.266129,1.9061044,1.3837977557899815e-16,2.1488012124941403e-14
50,RESF1,7.9346623,1.7773926,2.1106851233163015e-15,3.1530696813692827e-13
51,UGCG,7.894405,1.8437805,2.917038623136378e-15,4.303178913867996e-13
52,FCRL2,7.7457485,1.4651049,9.502041910160698e-15,1.3510644289489334e-12
53,SLC38A1,7.673483,1.6036297,1.6738809569099516e-14,2.3657851632302747e-12
